Size QuickSort InsertSort CombinedSort
2 0.256674 0.230855 0.231026
3 0.306545 0.234299 0.234316
4 0.424537 0.243755 0.241099
5 0.550003 0.255389 0.249452
6 0.707241 0.411672 0.375174
7 0.902219 0.586049 0.606366
8 1.09631 0.742161 0.758272
9 1.29884 0.896252 0.915574
10 1.50173 1.05093 1.07082
11 1.72774 1.20595 1.22528
12 1.9698 1.36077 1.38276
13 2.24085 1.5316 1.54944
14 2.48425 1.71025 1.73113
15 2.67051 1.89731 1.91671
16 2.84514 2.09368 2.11312
17 3.05116 2.30336 2.31993
18 3.34519 2.4969 2.51038
19 3.68972 2.6658 2.67727
20 4.03789 2.82359 2.83869
21 4.36179 3.02282 3.03319
22 4.6722 3.46726 3.44768
23 4.80901 3.59266 3.60376
24 4.87604 3.85047 3.86823
25 5.11892 4.1601 4.17641
26 5.39334 4.41308 4.4253
27 5.63708 4.61 4.62136
28 5.81936 4.81659 4.82833
29 5.96879 5.0681 5.08321
30 6.0872 5.34342 5.35923
31 6.23784 5.58758 5.6029
32 6.56964 5.80062 5.81367
33 7.08166 5.999 6.01174
34 7.68441 6.23816 6.25774
35 8.2944 6.60046 6.63392
36 8.75715 7.10351 7.14706
37 9.11 7.74123 7.78867
38 9.32467 8.35061 8.40064
39 9.51343 8.89569 8.93215
40 9.61555 9.24792 9.27173
41 9.68215 9.48102 9.49981
42 9.82811 9.72338 9.73611
43 9.92615 9.92477 9.94807
44 10.0837 10.1954 10.2264
45 10.3399 10.5749 10.6106
46 10.6752 10.9762 11.0132
47 11.0434 11.3314 11.3631
48 11.3907 11.6565 11.6836
49 11.6506 11.97 12.0022
50 11.8131 12.3916 12.4386
51 11.9293 12.9843 13.0539
52 12.0011 13.7598 13.8507
53 12.1204 14.7144 14.812
54 12.3581 15.6729 15.7664
55 12.6478 16.6041 16.6929
56 13.2593 17.4146 17.484
57 14.145 17.9983 18.0524
58 15.1334 18.4392 18.4751
59 15.9581 18.766 18.7934
60 16.6491 19.0242 19.0459
61 17.0472 19.2072 19.2259
62 17.4108 19.4066 19.4261
63 17.7216 19.6212 19.6457
64 18.0344 19.8733 19.9052
65 18.4062 20.2831 20.3274
66 18.6229 20.7238 20.7792
67 18.8451 21.3361 21.3981
68 18.96 21.9018 21.9683
69 19.0764 22.5094 22.5671
70 19.148 23.0114 23.0664
71 19.2166 23.5255 23.5786
72 19.2645 24.0401 24.1034
73 19.3331 24.7696 24.8542
74 19.3864 25.6816 25.7964
75 19.4408 26.8155 26.9639
76 19.5588 28.3014 28.4662
77 19.6752 29.7693 29.9304
78 19.8155 31.1363 31.2869
79 20.0406 32.4669 32.6066
80 20.2212 33.5387 33.6529
81 20.4408 34.4528 34.544
82 20.6794 35.2537 35.3352
83 20.9285 35.9035 35.9757
84 21.35 36.5634 36.6263
85 21.7958 37.067 37.119
86 22.3292 37.5224 37.5657
87 22.8215 37.8681 37.904
88 23.2518 38.1926 38.2236
89 23.4648 38.4421 38.4706
90 23.6287 38.7055 38.7346
91 23.7609 39.0027 39.0343
92 23.864 39.3158 39.3549
93 23.9426 39.6781 39.7188
94 24.0622 40.0716 40.1224
95 24.2216 40.5881 40.649
96 24.4641 41.2178 41.2884
97 24.694 41.961 42.0435
98 24.9654 42.7377 42.8325
99 25.5573 43.6505 43.7491
